dataset,hemisphere,season,variant,tau_fit_3,tau_autocorr_efold,delta_tau,abs_delta_tau,n_low_freq_points,n_segments,real_intercept,real_intercept_stderr,real_rsq,imag_rsq,intercept_snr
jra55,n,MJJ,va,5.772994994431314,5.389984247901556,-0.38301074652975764,0.38301074652975764,7,27,0.14992833484556298,0.006352632378355168,0.10764645339192921,0.9641298975031717,23.60097766028492
jra55,n,JJA,native,10.350161321696186,5.432916999772307,-4.917244321923879,4.917244321923879,7,27,0.1553570957047633,0.014867953450018996,0.13440989264669467,0.9797748687946276,10.449124435788761
jra55,n,JJA,va,7.368320955828865,5.518244692931199,-1.850076262897666,1.850076262897666,7,27,0.14674007603215264,0.009758800985816234,0.020895328825214603,0.9914316675112338,15.036691110458094
jra55,n,JAS,native,10.716130786004467,5.12851470096575,-5.587616085038716,5.587616085038716,7,27,0.14227140023985765,0.010671446354132511,0.007946635008335265,0.941210711525378,13.331969774159353
jra55,n,JAS,va,9.44071028294724,4.920300897113404,-4.520409385833836,4.520409385833836,7,27,0.12133771601608181,0.005256373072635284,0.706094554531305,0.9631000189636482,23.08392390330261
jra55,n,ASO,native,7.829641705870679,4.49710097861967,-3.3325407272510086,3.3325407272510086,7,27,0.20071791754734508,0.014386149700056916,0.24906068407454204,0.9193623047876172,13.952163833423128
jra55,n,ASO,va,8.282282731898187,4.221302724315587,-4.0609800075826,4.0609800075826,7,27,0.13980181977953549,0.010713246172589126,0.4854822073124523,0.9630293760816547,13.049435953150402
jra55,n,SON,native,3.9909417110373537,7.066837679472953,3.0758959684355993,3.0758959684355993,7,27,0.2578873622744108,0.019068016136532157,0.6232402440894153,0.8403702406895427,13.5246037357986
jra55,n,SON,va,5.7551181423910425,6.110319369673812,0.3552012272827696,0.3552012272827696,7,27,0.1902742052211625,0.012594355701660303,0.360947490261688,0.93710357790114,15.107895134014584
jra55,n,OND,native,3.457753619790551,10.495637516170385,7.037883896379833,7.037883896379833,7,27,0.27379693254033494,0.008432026671031302,0.8826007774127685,0.9263803009704273,32.47107050562109
jra55,n,OND,va,4.122060105640855,10.440939662255781,6.3188795566149265,6.3188795566149265,7,27,0.19238655504357516,0.005166482005154716,0.8800957348465408,0.9690868364195663,37.237438328755765
jra55,n,NDJ,native,4.5796619315049085,12.947714712126581,8.368052780621673,8.368052780621673,7,27,0.24970406652805893,0.005235678706131239,0.9247209247476166,0.9291252134463481,47.6927788245759
jra55,n,NDJ,va,5.142773429208649,13.535988097860628,8.393214668651979,8.393214668651979,7,27,0.16377859555312313,0.008636235043508956,0.17682841070766556,0.9715616844894377,18.964119749869482
jra55,s,all_time,native,7.162061655887878,9.63443750088919,2.472375845001312,2.472375845001312,7,104,0.1777969009788725,0.004947358698604701,0.11224060672653859,0.9978784754831561,35.93774209842848
jra55,s,all_time,va,8.63096589790813,9.356661675840733,0.7256957779326036,0.7256957779326036,7,104,0.12089210299825234,0.003675773971542136,0.01317545618311726,0.9865335706286642,32.8888837926923
jra55,s,DJF,native,9.100677675382268,10.600601870155721,1.4999241947734525,1.4999241947734525,7,27,0.12292429223958198,0.007967648159324806,0.4628820844007981,0.9840150186795115,15.427926758502704
jra55,s,DJF,va,14.52244391505903,10.61138659978343,-3.9110573152756007,3.9110573152756007,7,27,0.06813550996763305,0.003992040480837485,0.8262568921721037,0.9883157354609263,17.067840442674818
jra55,s,JFM,native,7.782711428292371,7.750060852008286,-0.03265057628408563,0.03265057628408563,7,27,0.14609267194023923,0.00462588882041768,0.04488678561535389,0.9920085311349921,31.581535486849045
jra55,s,JFM,va,10.294072279997742,7.8432298763629476,-2.4508424036347947,2.4508424036347947,7,27,0.09048117553317057,0.007806476359097371,0.040109628946302656,0.9948424721614839,11.590527066379602
jra55,s,FMA,native,8.618713867775648,6.908275050443276,-1.7104388173323724,1.7104388173323724,7,27,0.16185692728820172,0.007490669111639511,0.5689556050778383,0.9836659878816656,21.60780630887799
jra55,s,FMA,va,9.4600058553331,6.687947847979951,-2.7720580073531487,2.7720580073531487,7,27,0.11248116759745938,0.003845255019082427,0.8508760043772847,0.9924896575436793,29.251939608494464
jra55,s,MAM,native,7.630124293195808,7.679092729600809,0.04896843640500048,0.04896843640500048,7,27,0.17260776252776058,0.008896463098124271,0.04185347106714117,0.9617298110728206,19.401841004000026
jra55,s,MAM,va,8.877783416078977,7.351270646468481,-1.5265127696104956,1.5265127696104956,7,27,0.11875420486024912,0.004464844353171864,0.22883924569199998,0.9845625790276943,26.597613593379826
jra55,s,AMJ,native,6.902253366322964,7.564604028071541,0.6623506617485768,0.6623506617485768,7,27,0.18286362050688354,0.005558388781089434,0.21040601372287904,0.9927045493269304,32.898674005858695
jra55,s,AMJ,va,8.950525436984078,7.104469655375591,-1.846055781608487,1.846055781608487,7,27,0.12480518182080105,0.0052783395940607745,0.33513586668531514,0.98513017202877,23.644780635416627
jra55,s,MJJ,native,6.746480238460119,10.023506414867303,3.2770261764071833,3.2770261764071833,7,27,0.18439213710839994,0.011653646953796544,0.23774570186559485,0.9736405874524695,15.822698065203388
jra55,s,MJJ,va,7.056520042512877,9.30221337502267,2.245693332509794,2.245693332509794,7,27,0.15219474435084376,0.008351557235628845,9.010008242742547e-06,0.9954576272960461,18.223516891144673
jra55,s,JJA,native,8.142651637648074,9.28791602574318,1.1452643880951054,1.1452643880951054,7,27,0.1694769524867566,0.014577428390911728,0.44411145761247345,0.9629700219099288,11.625984223144371
jra55,s,JJA,va,7.967048100450291,8.316961358629976,0.34991325817968555,0.34991325817968555,7,27,0.14432428039938913,0.009667663856885127,0.1029657075153646,0.9916940645191674,14.928557978006664
jra55,s,JAS,native,6.674505911946399,10.351406523354724,3.6769006114083247,3.6769006114083247,7,27,0.18264862235706886,0.002186667527468963,0.8944554470494458,0.9915214210814937,83.52830051328475
jra55,s,JAS,va,8.001333597915696,9.421505600070617,1.4201720021549207,1.4201720021549207,7,27,0.1365930557916404,0.006639223228547038,0.46307700121461953,0.9785120173822462,20.57365012285227
jra55,s,ASO,native,7.278495630171773,9.625830081358371,2.3473344511865983,2.3473344511865983,7,27,0.16594433630122113,0.02176522572702448,0.0649577712414798,0.9922941202183188,7.624287401493784
jra55,s,ASO,va,8.78775986565972,8.725593090653843,-0.06216677500587586,0.06216677500587586,7,27,0.11269795521691048,0.023128796117145526,0.0747688826832564,0.9873790364306604,4.872625217763356
jra55,s,SON,native,6.221026072680848,11.475651176524366,5.254625103843518,5.254625103843518,7,27,0.18357158326222248,0.00933070036536523,0.0034107006117743335,0.9657271606127725,19.673934010744215
jra55,s,SON,va,6.362855305720031,11.226604080583982,4.863748774863951,4.863748774863951,7,27,0.12362859426400255,0.005763756976119145,0.05863783957383245,0.8987253740553734,21.449307244602842
jra55,s,OND,native,5.334431659579287,13.917495525344528,8.58306386576524,8.58306386576524,7,27,0.18036595019950274,0.002666488748038311,0.8780087791091206,0.9742310784843143,67.64174434720373
jra55,s,OND,va,6.925229604685446,13.627936523319303,6.702706918633857,6.702706918633857,7,27,0.11315191486080664,0.0018652713036106056,0.6067173010990545,0.9339453445460526,60.66244338921555
jra55,s,NDJ,native,6.06717304221607,13.29324389227246,7.226070850056391,7.226070850056391,7,27,0.15977474851860135,0.003595669390402496,0.704135329943271,0.9488850912530558,44.43532793784367
jra55,s,NDJ,va,8.611004348360293,13.265805619356966,4.654801270996673,4.654801270996673,7,27,0.1008963552919533,0.002267095445884701,2.7258397237333865e-06,0.974590396396674,44.504679092846914
